"","POINTID","CROP_SETTING","index"
"1","AMT01C101","FOREST",2.42801400460829
"2","AMT01C103","FOREST",2.43194499148936
"3","AMT01C201","INTERCROP",2.44129440333333
"4","AMT01C203","INTERCROP",2.41552344741533
"5","AMT01C302","INTERCROP",2.4639154488189
"6","AMT02C102","FOREST",2.40644942074928
"7","AMT02C201","INTERCROP",2.44191306644518
"8","AMT02C203","INTERCROP",2.40134033104631
"9","AMT02C301","INTERCROP",2.44537793639576
"10","AMT02C303","INTERCROP",2.43434258558559
"11","AMT03C101","FOREST",2.42890892845258
"12","AMT03C103","FOREST",2.43804570930233
"13","AMT03C202","INTERCROP",2.38603235880399
"14","AMT03C301","INTERCROP",2.43080279537367
"15","AMT03C303","INTERCROP",2.37966608617594
"16","BIT01C102","FOREST",2.45031633785617
"17","BIT01C201","INTERCROP",2.42012267771084
"18","BIT01C203","INTERCROP",2.46999716006098
"19","BIT01C301","INTERCROP",2.45748731981982
"20","BIT01C303","INTERCROP",2.44764903963415
"21","BIT02C101","FOREST",2.41275522146739
"22","BIT02C103","FOREST",2.40536062464589
"23","BIT02C202","MONO",2.41926571619614
"24","BIT02C301","MONO",2.44107389377845
"25","BIT02C303","MONO",2.38817402752294
"26","BIT03C101","FOREST",2.44879980753138
"27","BIT03C103","FOREST",2.42602372839506
"28","BIT03C201","INTERCROP",2.41734290771558
"29","BIT03C203","INTERCROP",2.45429314285714
"30","BIT03C302","INTERCROP",2.33235800748503
"31","LOT01C101","FOREST",2.41096556910569
"32","LOT01C103","FOREST",2.45132296666667
"33","LOT01C202","INTERCROP",2.43986097513321
"34","LOT01C302","MONO",2.42500408718861
"35","LOT02C101","FOREST",2.44103994567063
"36","LOT02C103","FOREST",2.45149721521036
"37","LOT02C202","INTERCROP",2.46614434782609
"38","LOT02C302","INTERCROP",2.4390944490161
"39","LOT03C101","FOREST",2.43593062211221
"40","LOT03C202","INTERCROP",2.46458224166667
"41","LOT03C302","INTERCROP",2.38243737431694
"42","TAT01C101","FOREST",2.43836500327332
"43","TAT01C103","FOREST",2.42453476143791
"44","TAT01C201","MONO",2.41648271288744
"45","TAT01C203","MONO",2.42387677878104
"46","TAT01C302","MONO",2.36257777601411
"47","TAT02C101","FOREST",2.43136445959596
"48","TAT02C103","FOREST",2.42620418456376
"49","TAT02C202","MONO",2.46916896812081
"50","TAT02C301","MONO",2.44808531866197
"51","TAT02C303","MONO",2.43332365418895
"52","TAT03C102","FOREST",2.35906775645161
"53","TAT03C201","MONO",2.44490047181965
"54","TAT03C203","MONO",2.38810451534733
"55","TAT03C301","MONO",2.39352255782313
"56","TAT03C303","MONO",2.3962101634103
